"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Detail Table Feature","Level filter","0","0","1","0","0"
"","Login Feature","Failed login because invalid password","0","0","1","0","0"
"","Login Feature","Login without input password","0","0","1","0","0"
"","Exception Feature","TimeoutException","0","0","1","0","0"
"","Exception Feature","InvalidElementStateException","0","0","1","0","0"
"","Detail Table Feature","Reset button visibility and behavior","0","0","1","0","0"
"","Detail Table Feature","Language filter","0","0","1","0","0"
"","Exception Feature","StaleElementReferenceException","0","0","1","0","0"
"","Login Feature","Failed login because invalid username","0","0","1","0","0"
"","Exception Feature","ElementNotInteractableException","0","0","1","0","0"
"","Exception Feature","NoSuchElementException","0","0","1","0","0"
"","Login Feature","Success Login with valid credential","0","0","1","0","0"
"","Detail Table Feature","Combined filters","0","0","1","0","0"
"","Login Feature","Logout after success Login","0","0","1","0","0"
"","Detail Table Feature","Sort by Enrollments (ascending, numeric)","0","0","1","0","0"
"","Login Feature","Positive LogIn test with assert","0","0","1","0","0"
"","Detail Table Feature","Filter choose with value","0","0","1","0","0"
