"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 11 14:10:35 WIB 2026","Tue Aug 11 14:10:37 WIB 2026","2492","","Detail Table Feature","","Level filter","","Level filter",""
"passed","Tue Aug 11 14:10:26 WIB 2026","Tue Aug 11 14:10:29 WIB 2026","2709","","Login Feature","","Failed login because invalid password","","Failed login because invalid password",""
"passed","Tue Aug 11 14:10:29 WIB 2026","Tue Aug 11 14:10:32 WIB 2026","2835","","Login Feature","","Login without input password","","Login without input password",""
"passed","Tue Aug 11 14:11:29 WIB 2026","Tue Aug 11 14:11:33 WIB 2026","4931","","Exception Feature","","TimeoutException","","TimeoutException",""
"passed","Tue Aug 11 14:11:21 WIB 2026","Tue Aug 11 14:11:29 WIB 2026","7346","","Exception Feature","","InvalidElementStateException","","InvalidElementStateException",""
"passed","Tue Aug 11 14:10:43 WIB 2026","Tue Aug 11 14:10:57 WIB 2026","13743","","Detail Table Feature","","Reset button visibility and behavior","","Reset button visibility and behavior",""
"passed","Tue Aug 11 14:10:32 WIB 2026","Tue Aug 11 14:10:35 WIB 2026","2499","","Detail Table Feature","","Language filter","","Language filter",""
"passed","Tue Aug 11 14:11:33 WIB 2026","Tue Aug 11 14:11:37 WIB 2026","3219","","Exception Feature","","StaleElementReferenceException","","StaleElementReferenceException",""
"passed","Tue Aug 11 14:10:21 WIB 2026","Tue Aug 11 14:10:26 WIB 2026","5330","","Login Feature","","Failed login because invalid username","","Failed login because invalid username",""
"passed","Tue Aug 11 14:11:12 WIB 2026","Tue Aug 11 14:11:21 WIB 2026","8748","","Exception Feature","","ElementNotInteractableException","","ElementNotInteractableException",""
"passed","Tue Aug 11 14:11:05 WIB 2026","Tue Aug 11 14:11:12 WIB 2026","7878","","Exception Feature","","NoSuchElementException","","NoSuchElementException",""
"passed","Tue Aug 11 14:10:13 WIB 2026","Tue Aug 11 14:10:17 WIB 2026","4768","","Login Feature","","Success Login with valid credential","","Success Login with valid credential",""
"passed","Tue Aug 11 14:10:40 WIB 2026","Tue Aug 11 14:10:43 WIB 2026","3575","","Detail Table Feature","","Combined filters","","Combined filters",""
"passed","Tue Aug 11 14:10:17 WIB 2026","Tue Aug 11 14:10:21 WIB 2026","3824","","Login Feature","","Logout after success Login","","Logout after success Login",""
"passed","Tue Aug 11 14:10:57 WIB 2026","Tue Aug 11 14:11:05 WIB 2026","7308","","Detail Table Feature","","Sort by Enrollments (ascending, numeric)","","Sort by Enrollments (ascending, numeric)",""
"passed","Tue Aug 11 14:10:05 WIB 2026","Tue Aug 11 14:10:12 WIB 2026","7144","","Login Feature","","Positive LogIn test with assert","","Positive LogIn test with assert",""
"passed","Tue Aug 11 14:10:37 WIB 2026","Tue Aug 11 14:10:40 WIB 2026","2859","","Detail Table Feature","","Filter choose with value","","Filter choose with value",""
